"","State","flu_like_deaths","detrended","detrended_flu_like","median","median_flu_like","Week.Ending.Date","Total.Deaths","data_set","MMWR.Week","centered","centered_flu_like","non_flu_deaths","detrended_non_flu_like","centered_non_flu_like"
"9507","Michigan",392,2062.92397660819,397.675213675214,1721.84502923977,34.9529914529915,2020-05-16,2160,"2020-2021",20,341.07894736842,362.722222222222,1768,1665.24876293297,-21.6432748538019
"9508","Michigan",322,1910.63157894737,327.692307692308,1690.40350877193,28.6837606837607,2020-05-23,2008,"2020-2021",21,220.228070175438,299.008547008547,1686,1582.93927125506,-78.780476833109
"9509","Michigan",244,1861.33918128655,249.709401709402,1724.14619883041,30.9871794871795,2020-05-30,1959,"2020-2021",22,137.19298245614,218.722222222222,1715,1611.62977957715,-81.5292397660822
"9510","Michigan",198,1901.04678362573,203.726495726496,1693.45614035088,34.0042735042735,2020-06-06,1999,"2020-2021",23,207.590643274853,169.722222222222,1801,1697.32028789923,37.8684210526312
"9511","Michigan",152,1759.75438596491,157.74358974359,1720.36842105263,26.5213675213675,2020-06-13,1858,"2020-2021",24,39.3859649122805,131.222222222222,1706,1602.01079622132,-91.8362573099417
"9512","Michigan",142,1783.46198830409,147.760683760684,1682.38304093567,25.5384615384615,2020-06-20,1882,"2020-2021",25,101.078947368421,122.222222222222,1740,1635.70130454341,-21.1432748538016
"9513","Michigan",139,1817.16959064327,144.777777777778,1670.68128654971,28.0555555555556,2020-06-27,1916,"2020-2021",26,146.488304093567,116.722222222222,1777,1672.3918128655,29.7660818713448
"9514","Michigan",115,1882.87719298246,120.794871794872,1688.04678362573,32.3974358974359,2020-07-04,1982,"2020-2021",27,194.830409356725,88.3974358974359,1867,1762.08232118758,106.432973459289
"9515","Michigan",121,1787.58479532164,126.811965811966,1640.30116959064,28.3034188034188,2020-07-11,1887,"2020-2021",28,147.283625730994,98.508547008547,1766,1660.77282950967,48.7750787224469
"9516","Michigan",103,1775.29239766082,108.82905982906,1712.56432748538,28.5512820512821,2020-07-18,1875,"2020-2021",29,62.728070175438,80.2777777777778,1772,1666.46333783176,-17.5497076023398
"9517","Michigan",121,1789,126.846153846154,1662.11403508772,27.2350427350427,2020-07-25,1889,"2020-2021",30,126.88596491228,99.6111111111111,1768,1662.15384615385,27.2748538011692
"9518","Michigan",144,1864.70760233918,149.863247863248,1676.8216374269,19.3076923076923,2020-08-01,1965,"2020-2021",31,187.88596491228,130.555555555556,1821,1714.84435447593,57.3304093567248
"9519","Michigan",143,1763.41520467836,148.880341880342,1674.13157894737,26.1581196581197,2020-08-08,1864,"2020-2021",32,89.2836257309939,122.722222222222,1721,1614.53486279802,-33.4385964912283
"9520","Michigan",167,1922.12280701754,172.897435897436,1648.4298245614,25.3418803418803,2020-08-15,2023,"2020-2021",33,273.69298245614,147.555555555556,1856,1749.22537112011,126.137426900584
"9521","Michigan",153,1823.83040935672,158.91452991453,1658.44444444444,23.7478632478633,2020-08-22,1925,"2020-2021",34,165.38596491228,135.166666666667,1772,1664.91587944219,30.2192982456137
"9522","Michigan",139,1833.53801169591,144.931623931624,1667.34502923977,26.7094017094017,2020-08-29,1935,"2020-2021",35,166.19298245614,118.222222222222,1796,1688.60638776428,47.970760233918
"9523","Michigan",128,1857.24561403509,133.948717948718,1690.85964912281,26.6153846153846,2020-09-05,1959,"2020-2021",36,166.38596491228,107.333333333333,1831,1723.29689608637,59.052631578947
"9524","Michigan",114,1837.95321637427,119.965811965812,1672.16959064327,25.7435897435897,2020-09-12,1940,"2020-2021",37,165.783625730994,94.2222222222222,1826,1717.98740440846,71.5614035087714
"9525","Michigan",145,1800.66081871345,150.982905982906,1711.27485380117,26.3632478632479,2020-09-19,1903,"2020-2021",38,89.3859649122805,124.619658119658,1758,1649.67791273054,-35.2336932073776
"9526","Michigan",143,1903.36842105263,149,1725.33333333333,32.8888888888889,2020-09-26,2006,"2020-2021",39,178.035087719298,116.111111111111,1863,1754.36842105263,61.9239766081868
"9527","Michigan",163,1929.07602339181,169.017094017094,1742.08771929825,30.4059829059829,2020-10-03,2032,"2020-2021",40,186.988304093567,138.611111111111,1869,1760.05892937472,48.3771929824559
"9528","Michigan",180,2039.78362573099,186.034188034188,1723.69298245614,29.8675213675214,2020-10-10,2143,"2020-2021",41,316.090643274854,156.166666666667,1963,1853.74943769681,159.923976608187
"9529","Michigan",213,1920.49122807017,219.051282051282,1787.70760233918,32.4871794871795,2020-10-17,2024,"2020-2021",42,132.783625730994,186.564102564103,1811,1701.43994601889,-53.7804768331087
"9530","Michigan",255,2098.19883040936,261.068376068376,1781.66374269006,30.4017094017094,2020-10-24,2202,"2020-2021",43,316.535087719298,230.666666666667,1947,1837.13045434098,85.868421052631
"9531","Michigan",257,2069.90643274854,263.08547008547,1795.52046783626,34.0854700854701,2020-10-31,2174,"2020-2021",44,274.385964912281,229,1917,1806.82096266307,45.3859649122805
"9532","Michigan",395,2227.61403508772,401.102564102564,1754.38596491228,30.1025641025641,2020-11-07,2332,"2020-2021",45,473.228070175438,371,1937,1826.51147098515,102.228070175438
"9533","Michigan",506,2318.3216374269,512.119658119658,1797.2865497076,27.7222222222222,2020-11-14,2423,"2020-2021",46,521.035087719298,484.397435897436,1917,1806.20197930724,36.6376518218619
"9534","Michigan",667,2509.02923976608,673.136752136752,1823.09649122807,28.6367521367521,2020-11-21,2614,"2020-2021",47,685.932748538011,644.5,1947,1835.89248762933,41.4327485380113
"9535","Michigan",761,2549.73684210526,767.153846153846,1826.54385964912,34.8760683760684,2020-11-28,2655,"2020-2021",48,723.19298245614,732.277777777778,1894,1782.58299595142,-9.08479532163756
"9536","Michigan",875,2696.44444444444,881.17094017094,1826.11403508772,34.6623931623932,2020-12-05,2802,"2020-2021",49,870.330409356725,846.508547008547,1927,1815.2735042735,23.8218623481779
"9537","Michigan",945,2843.15204678363,951.188034188034,1883.16374269006,33.5213675213675,2020-12-12,2949,"2020-2021",50,959.988304093567,917.666666666667,2004,1891.96401259559,42.3216374269008
"9538","Michigan",878,2649.85964912281,884.205128205128,1886.57602339181,37.5384615384615,2020-12-19,2756,"2020-2021",51,763.283625730994,846.666666666667,1878,1765.65452091768,-83.383040935673
"9539","Michigan",740,2518.56725146199,746.222222222222,1898.07894736842,36.8888888888889,2020-12-26,2625,"2020-2021",52,620.488304093567,709.333333333333,1885,1772.34502923977,-88.8450292397663
"9540","Michigan",647,2443.27485380117,653.239316239316,2102.79532163743,99.8888888888889,2021-01-02,2550,"2020-2021",53,340.479532163742,553.350427350427,1903,1790.03553756185,-212.870895186685
"9541","Michigan",573,2249.98245614035,579.25641025641,1989.04678362573,53.017094017094,2021-01-09,2357,"2020-2021",1,260.935672514619,526.239316239316,1784,1670.72604588394,-265.303643724697
"9542","Michigan",493,2288.69005847953,499.273504273504,2012.25438596491,55.2478632478633,2021-01-16,2396,"2020-2021",2,276.435672514619,444.025641025641,1903,1789.41655420603,-167.589968511022
"9543","Michigan",450,2237.39766081871,456.290598290598,1946.46198830409,52.9316239316239,2021-01-23,2345,"2020-2021",3,290.935672514619,403.358974358974,1895,1781.10706252811,-112.423301844355
"9544","Michigan",376,2081.10526315789,382.307692307692,1866.9649122807,47.2905982905983,2021-01-30,2189,"2020-2021",4,214.140350877193,335.017094017094,1813,1698.7975708502,-120.876743139901
"9545","Michigan",366,2184.81286549708,372.324786324786,1869.71929824561,42.3632478632479,2021-02-06,2293,"2020-2021",5,315.093567251462,329.961538461538,1927,1812.48807917229,-14.8679712100765
"9546","Michigan",265,1972.52046783626,271.34188034188,1872.38011695906,43.9273504273504,2021-02-13,2081,"2020-2021",6,100.140350877193,227.41452991453,1816,1701.17858749438,-127.274179037337
"9547","Michigan",242,1991.22807017544,248.358974358974,1896.54385964912,42.0555555555556,2021-02-20,2100,"2020-2021",7,94.6842105263154,206.303418803419,1858,1742.86909581646,-111.619208277103
"9548","Michigan",194,1952.93567251462,200.376068376068,1873.85380116959,37.3034188034188,2021-02-27,2062,"2020-2021",8,79.0818713450287,163.07264957265,1868,1752.55960413855,-83.9907782276209
"9549","Michigan",196,1912.6432748538,202.393162393162,1911.8567251462,45.9871794871795,2021-03-06,2022,"2020-2021",9,0.786549707601807,156.405982905983,1826,1710.25011246064,-155.619433198381
"9550","Michigan",168,1755.35087719298,174.410256410256,1896.96198830409,50.5042735042735,2021-03-13,1865,"2020-2021",10,-141.611111111111,123.905982905983,1697,1580.94062078273,-265.517094017094
